
U(x, u) = x^2 + u^2

+-------+------------+-------------+---------------+-------------+
|   x   |   Пикар    | Явный Эйлер | Неявный Эйлер | Рунге-Кутта |
| 0.020 | 2.6667e-06 |  2.6467e-06 |   2.6467e-06  |  2.6667e-06 |
| 0.020 | 2.7069e-06 |  2.6867e-06 |   2.6867e-06  |  2.7069e-06 |
| 0.020 | 2.7475e-06 |  2.7271e-06 |   2.7271e-06  |  2.7475e-06 |
| 0.020 | 2.7885e-06 |  2.7679e-06 |   2.7679e-06  |  2.7885e-06 |
| 0.020 | 2.8299e-06 |  2.8091e-06 |   2.8091e-06  |  2.8299e-06 |
| 0.021 | 2.8717e-06 |  2.8507e-06 |   2.8508e-06  |  2.8717e-06 |
| 0.021 | 2.9139e-06 |  2.8928e-06 |   2.8928e-06  |  2.9140e-06 |
| 0.021 | 2.9566e-06 |  2.9352e-06 |   2.9352e-06  |  2.9566e-06 |
| 0.021 | 2.9996e-06 |  2.9780e-06 |   2.9781e-06  |  2.9997e-06 |
| 0.021 | 3.0431e-06 |  3.0213e-06 |   3.0213e-06  |  3.0431e-06 |
| 0.021 | 3.0870e-06 |  3.0650e-06 |   3.0650e-06  |  3.0870e-06 |
| 0.021 | 3.1313e-06 |  3.1091e-06 |   3.1091e-06  |  3.1313e-06 |
| 0.021 | 3.1760e-06 |  3.1536e-06 |   3.1536e-06  |  3.1761e-06 |
| 0.021 | 3.2212e-06 |  3.1986e-06 |   3.1986e-06  |  3.2212e-06 |
| 0.021 | 3.2668e-06 |  3.2439e-06 |   3.2439e-06  |  3.2668e-06 |
| 0.022 | 3.3128e-06 |  3.2897e-06 |   3.2897e-06  |  3.3128e-06 |
| 0.022 | 3.3592e-06 |  3.3359e-06 |   3.3360e-06  |  3.3593e-06 |
| 0.022 | 3.4061e-06 |  3.3826e-06 |   3.3826e-06  |  3.4061e-06 |
| 0.022 | 3.4534e-06 |  3.4297e-06 |   3.4297e-06  |  3.4534e-06 |
| 0.022 | 3.5012e-06 |  3.4772e-06 |   3.4772e-06  |  3.5012e-06 |
| 0.022 | 3.5493e-06 |  3.5252e-06 |   3.5252e-06  |  3.5494e-06 |
| 0.022 | 3.5980e-06 |  3.5736e-06 |   3.5736e-06  |  3.5980e-06 |
| 0.022 | 3.6470e-06 |  3.6224e-06 |   3.6224e-06  |  3.6471e-06 |
| 0.022 | 3.6965e-06 |  3.6717e-06 |   3.6717e-06  |  3.6966e-06 |
| 0.022 | 3.7465e-06 |  3.7214e-06 |   3.7215e-06  |  3.7465e-06 |
| 0.022 | 3.7969e-06 |  3.7716e-06 |   3.7716e-06  |  3.7969e-06 |
